Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,162.000000,163.000000,156.800003,158.960007,147.911835,9727265
2012-01-03,161.020004,168.380005,160.729996,167.509995,155.867569,10710050
2012-01-04,168.960007,171.199997,166.380005,169.630005,157.840210,16936750
2012-01-05,169.800003,175.759995,169.009995,174.130005,162.027466,16901170
2012-01-06,172.559998,173.199997,167.259995,170.699997,158.835861,12345325
2012-01-07,null,null,null,null,null,null
2012-01-09,170.199997,172.679993,167.020004,171.639999,159.710526,8763275
2012-01-10,173.800003,179.399994,173.220001,178.949997,166.512451,9827090
2012-01-11,179.600006,189.490005,178.619995,186.729996,173.751724,15532065
2012-01-12,186.199997,193.690002,185.389999,188.100006,175.026489,17759615
2012-01-13,189.770004,191.190002,185.710007,187.940002,174.877609,12004280
2012-01-16,186.800003,187.800003,183.419998,187.050003,174.049484,9907110
2012-01-17,188.600006,195.979996,188.600006,192.449997,179.074158,13262725
2012-01-18,192.800003,193.789993,186.020004,186.649994,173.677277,9206400
2012-01-19,189.000000,192.240005,188.649994,191.009995,177.734253,8891125
2012-01-20,192.419998,204.000000,191.089996,201.809998,187.783615,24622520
2012-01-23,203.399994,207.559998,198.160004,199.389999,185.531815,17972105
2012-01-24,199.399994,209.199997,196.809998,206.520004,192.166245,35059620
2012-01-25,207.759995,215.179993,204.110001,212.729996,197.944626,22249770
2012-01-27,214.800003,215.880005,211.270004,214.610001,199.693985,13897305
2012-01-30,213.960007,213.960007,203.460007,204.690002,190.463455,10052175
2012-01-31,207.000000,217.600006,206.190002,215.009995,200.066177,11015795
2012-02-01,214.899994,218.460007,210.660004,217.619995,202.494766,11137960
2012-02-02,218.800003,221.740005,212.710007,215.179993,200.224350,14033335
2012-02-03,215.339996,221.869995,212.240005,219.869995,204.588379,10598495
2012-02-06,222.800003,223.679993,219.589996,222.009995,206.579651,14412175
2012-02-07,224.979996,224.979996,219.800003,222.720001,207.240326,8583245
2012-02-08,223.600006,228.229996,220.529999,225.440002,209.771271,14835090
2012-02-09,222.940002,228.360001,221.250000,226.899994,211.129791,11535310
2012-02-10,225.199997,228.779999,220.380005,223.610001,208.068451,8307250
2012-02-13,224.000000,225.550003,221.699997,223.270004,207.752075,7383195
2012-02-14,223.600006,226.600006,222.250000,225.929993,210.227188,6966125
2012-02-15,228.399994,246.000000,228.020004,244.199997,227.227386,17640965
2012-02-16,241.029999,247.000000,239.000000,244.860001,227.841522,12640000
2012-02-17,249.600006,259.000000,248.000000,255.639999,237.872269,14647050
2012-02-21,253.800003,261.690002,253.630005,257.519989,239.621597,10165915
2012-02-22,257.260010,258.679993,240.800003,243.210007,226.306198,15713830
2012-02-23,242.000000,249.000000,239.199997,243.539993,226.613251,15500985
2012-02-24,243.559998,249.309998,235.229996,236.690002,220.239334,15228050
2012-02-27,237.000000,237.570007,221.000000,222.899994,207.407791,15257535
2012-02-28,225.899994,237.600006,224.029999,234.110001,217.838654,15690705
2012-02-29,238.000000,241.910004,232.050003,235.550003,219.178574,12705420
2012-03-01,235.000000,235.000000,226.479996,230.580002,214.554016,7889280
2012-03-02,232.990005,241.779999,228.889999,233.330002,217.112869,15092035
2012-03-03,null,null,null,null,null,null
2012-03-05,233.000000,233.800003,228.550003,230.000000,214.014313,6837555
2012-03-06,229.779999,240.000000,221.149994,229.500000,213.549088,19573025
2012-03-07,228.000000,233.990005,226.149994,232.970001,216.777924,11241830
2012-03-09,237.800003,243.800003,237.000000,242.679993,225.813034,11864430
2012-03-12,250.000000,251.529999,242.630005,245.000000,227.971771,9704070
2012-03-13,248.000000,249.699997,247.270004,248.119995,230.874939,9112190
2012-03-14,253.000000,256.739990,251.649994,254.809998,237.099976,13528020
2012-03-15,255.000000,255.199997,246.720001,248.479996,231.209915,9495920
2012-03-16,246.899994,255.899994,240.690002,243.240005,226.334122,14114215
2012-03-19,245.589996,247.600006,237.710007,239.789993,223.123871,9065365
2012-03-20,240.000000,244.250000,236.020004,237.270004,220.779053,10887380
2012-03-21,237.000000,248.589996,236.630005,245.750000,228.669662,11350050
2012-03-22,247.050003,248.660004,233.820007,235.300003,218.945969,10643525
2012-03-23,237.759995,240.500000,230.440002,235.869995,219.476334,13980440
2012-03-26,234.979996,234.979996,224.000000,225.029999,209.389755,11354425
